t,U
32.22561364,-0.9138684839
32.26711364,-0.7240034422
32.30861364,-0.3126291851
32.3522096,0.1233572069
32.38972727,0.5829009282
32.42179545,1.319306054
32.44631818,2.113424126
32.47272727,2.899254437
32.49913636,3.749691603
32.52743182,4.535961417
32.54818182,5.327944762
32.57836364,6.150693276
32.60854545,7.139573702
32.63495455,7.988692361
32.66136364,8.737604469
32.68777273,9.444324347
32.71229545,10.19775705
32.73870455,10.86680529
32.77265909,11.4590034
32.81415909,11.67188239
32.84811364,11.19228822
32.87075,10.45271868
32.87640909,9.766040112
32.89527273,9.054046206
32.90281818,8.373696473
